14:30:30.311 [main] INFO  com.artoftesting.pages.SauceDemoLoginPage - Logging with username - standard_user  and password - secret_sauce
14:30:31.293 [main] INFO  com.artoftesting.test.SauceDemoLoginTest - expectedProductLabel-Products and actualProductLabel - Products
19:42:12.116 [main] INFO  com.artoftesting.test.SearchFlightsTest - Shopping products based on temperature
19:43:37.469 [main] INFO  com.artoftesting.test.SearchFlightsTest - Shopping products based on temperature
21:45:30.273 [main] INFO  com.artoftesting.test.SearchFlightsTest - Shopping products based on temperature
21:49:51.978 [main] INFO  com.artoftesting.test.SearchFlightsTest - Shopping products based on temperature
21:50:57.193 [main] INFO  com.artoftesting.test.SearchFlightsTest - Shopping products based on temperature
21:52:13.448 [main] INFO  com.artoftesting.test.SearchFlightsTest - Shopping products based on temperature
22:07:40.656 [main] INFO  com.artoftesting.test.SearchFlightsTest - Shopping products based on temperature
22:09:00.704 [main] INFO  com.artoftesting.test.SearchFlightsTest - Shopping products based on temperature
22:21:59.741 [main] INFO  com.artoftesting.test.SearchFlightsTest - Shopping products based on temperature
22:34:18.004 [main] INFO  com.artoftesting.test.SearchFlightsTest - Shopping products based on temperature
23:24:55.801 [main] INFO  com.artoftesting.test.SearchFlightsTest - Shopping products based on temperature
23:28:22.696 [main] INFO  com.artoftesting.test.SearchFlightsTest - Shopping products based on temperature
23:31:36.660 [main] INFO  com.artoftesting.test.SearchFlightsTest - Shopping products based on temperature
23:32:55.202 [main] INFO  com.artoftesting.test.SearchFlightsTest - Shopping products based on temperature
23:34:34.881 [main] INFO  com.artoftesting.test.SearchFlightsTest - Shopping products based on temperature
23:35:55.236 [main] INFO  com.artoftesting.test.SearchFlightsTest - Shopping products based on temperature
23:36:50.775 [main] INFO  com.artoftesting.test.SearchFlightsTest - Shopping products based on temperature
23:39:36.835 [main] INFO  com.artoftesting.test.SearchFlightsTest - Shopping products based on temperature
00:16:42.093 [main] INFO  com.artoftesting.test.SearchFlightsTest - Searching for flights on a date
00:17:21.044 [main] INFO  com.artoftesting.test.SearchFlightsTest - Searching for flights on a date
00:40:09.155 [main] INFO  com.artoftesting.test.SearchFlightsTest - Searching for flights on a date
00:40:49.489 [main] INFO  com.artoftesting.test.SearchFlightsTest - Searching for flights on a date
00:40:56.646 [main] INFO  com.artoftesting.test.SearchFlightsTest - Verify no flights found message is shown when there are no flight route
00:45:05.221 [main] INFO  com.artoftesting.test.SearchFlightsTest - Searching for flights on a date
00:45:12.566 [main] INFO  com.artoftesting.test.SearchFlightsTest - Verify if all flight details are showing flight number
00:45:18.334 [main] INFO  com.artoftesting.test.SearchFlightsTest - Verify no flights found message is shown when there are no flight route
